Year,Celsius,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
2007-05-01,15.856000000000002,0.17800000000000002,Berlin,Germany,52.24N,13.14E
2007-06-01,19.285,0.227,Berlin,Germany,52.24N,13.14E
2007-07-01,18.857,0.22,Berlin,Germany,52.24N,13.14E
2007-08-01,18.581,0.126,Berlin,Germany,52.24N,13.14E
2007-09-01,13.885,0.214,Berlin,Germany,52.24N,13.14E
2007-10-01,8.732000000000001,0.165,Berlin,Germany,52.24N,13.14E
2007-11-01,4.115,0.206,Berlin,Germany,52.24N,13.14E
2007-12-01,2.338,0.336,Berlin,Germany,52.24N,13.14E
2008-01-01,4.007,0.258,Berlin,Germany,52.24N,13.14E
2008-02-01,5.114999999999998,0.273,Berlin,Germany,52.24N,13.14E
2008-03-01,5.257000000000001,0.192,Berlin,Germany,52.24N,13.14E
2008-04-01,8.831,0.185,Berlin,Germany,52.24N,13.14E
2008-05-01,15.517000000000001,0.21600000000000005,Berlin,Germany,52.24N,13.14E
2008-06-01,18.703,0.262,Berlin,Germany,52.24N,13.14E
2008-07-01,19.803,0.177,Berlin,Germany,52.24N,13.14E
2008-08-01,18.927,0.214,Berlin,Germany,52.24N,13.14E
2008-09-01,13.892,0.203,Berlin,Germany,52.24N,13.14E
2008-10-01,9.968,0.118,Berlin,Germany,52.24N,13.14E
2008-11-01,5.9380000000000015,0.163,Berlin,Germany,52.24N,13.14E
2008-12-01,1.935,0.235,Berlin,Germany,52.24N,13.14E
2009-01-01,-1.939,0.285,Berlin,Germany,52.24N,13.14E
2009-02-01,1.126,0.208,Berlin,Germany,52.24N,13.14E
2009-03-01,5.541,0.165,Berlin,Germany,52.24N,13.14E
2009-04-01,13.183,0.239,Berlin,Germany,52.24N,13.14E
2009-05-01,14.535,0.205,Berlin,Germany,52.24N,13.14E
2009-06-01,15.899,0.23,Berlin,Germany,52.24N,13.14E
2009-07-01,19.78,0.385,Berlin,Germany,52.24N,13.14E
2009-08-01,20.180999999999997,0.172,Berlin,Germany,52.24N,13.14E
2009-09-01,16.003,0.197,Berlin,Germany,52.24N,13.14E
2009-10-01,8.222000000000001,0.151,Berlin,Germany,52.24N,13.14E
2009-11-01,8.033000000000001,0.244,Berlin,Germany,52.24N,13.14E
2009-12-01,0.18599999999999986,0.196,Berlin,Germany,52.24N,13.14E
2010-01-01,-4.702,0.276,Berlin,Germany,52.24N,13.14E
2010-02-01,0.056,0.332,Berlin,Germany,52.24N,13.14E
2010-03-01,5.115,0.241,Berlin,Germany,52.24N,13.14E
2010-04-01,9.458,0.145,Berlin,Germany,52.24N,13.14E
2010-05-01,11.652999999999999,0.158,Berlin,Germany,52.24N,13.14E
2010-06-01,17.735,0.168,Berlin,Germany,52.24N,13.14E
2010-07-01,22.506999999999998,0.331,Berlin,Germany,52.24N,13.14E
2010-08-01,18.692,0.245,Berlin,Germany,52.24N,13.14E
2010-09-01,13.558,0.157,Berlin,Germany,52.24N,13.14E
2010-10-01,8.339,0.139,Berlin,Germany,52.24N,13.14E
2010-11-01,5.2829999999999995,0.175,Berlin,Germany,52.24N,13.14E
2010-12-01,-4.412000000000001,0.305,Berlin,Germany,52.24N,13.14E
2011-01-01,1.614,0.35200000000000004,Berlin,Germany,52.24N,13.14E
2011-02-01,0.13399999999999995,0.194,Berlin,Germany,52.24N,13.14E
2011-03-01,5.364,0.265,Berlin,Germany,52.24N,13.14E
2011-04-01,12.669,0.19,Berlin,Germany,52.24N,13.14E
2011-05-01,15.209000000000001,0.252,Berlin,Germany,52.24N,13.14E
2011-06-01,18.705,0.338,Berlin,Germany,52.24N,13.14E
2011-07-01,17.930999999999997,0.264,Berlin,Germany,52.24N,13.14E
2011-08-01,19.008000000000006,0.227,Berlin,Germany,52.24N,13.14E
2011-09-01,16.238,0.206,Berlin,Germany,52.24N,13.14E
2011-10-01,10.350999999999999,0.24,Berlin,Germany,52.24N,13.14E
2011-11-01,4.875,0.221,Berlin,Germany,52.24N,13.14E
2011-12-01,4.579,0.45,Berlin,Germany,52.24N,13.14E
2012-01-01,2.17,0.384,Berlin,Germany,52.24N,13.14E
2012-02-01,-1.944,0.265,Berlin,Germany,52.24N,13.14E
2012-03-01,7.79,0.238,Berlin,Germany,52.24N,13.14E
2012-04-01,9.474,0.348,Berlin,Germany,52.24N,13.14E
2012-05-01,15.657,0.287,Berlin,Germany,52.24N,13.14E
2012-06-01,16.427,0.428,Berlin,Germany,52.24N,13.14E
2012-07-01,19.156,0.365,Berlin,Germany,52.24N,13.14E
2012-08-01,19.408,0.298,Berlin,Germany,52.24N,13.14E
2012-09-01,15.165,0.284,Berlin,Germany,52.24N,13.14E
2012-10-01,9.485,0.203,Berlin,Germany,52.24N,13.14E
2012-11-01,5.785,0.208,Berlin,Germany,52.24N,13.14E
2012-12-01,0.999,0.293,Berlin,Germany,52.24N,13.14E
2013-01-01,0.113,0.285,Berlin,Germany,52.24N,13.14E
2013-02-01,0.31399999999999995,0.26,Berlin,Germany,52.24N,13.14E
2013-03-01,-0.3910000000000005,0.29100000000000004,Berlin,Germany,52.24N,13.14E
2013-04-01,9.088,0.295,Berlin,Germany,52.24N,13.14E
2013-05-01,14.139,0.196,Berlin,Germany,52.24N,13.14E
2013-06-01,17.473,0.236,Berlin,Germany,52.24N,13.14E
2013-07-01,20.901,0.161,Berlin,Germany,52.24N,13.14E
2013-08-01,19.335,0.265,Berlin,Germany,52.24N,13.14E
